Confidential Record,Property Tag 1,Tenant Tag 1,Property: Title,Agency 1,Main Tenant,Rent,Advert Date,Sale Date,Sale Price,Yield,Sale Method,Auction / EOI Date,Agency 2,Agent 1,Agent 2,Agent 3,Agent 4,Building Size,Land Size,LDC Places,Field Percent Complete,Source Link URL,Transaction History: Transaction History Name,Missing Fields List,
FALSE,Large Format Retail,Showroom,"103 Rankin Street, Forbes NSW 2871",Burgess Rawson,The Reject Shop,"$135,952",26/09/2024,21/10/2024,"$1,930,001",7.04%,Portfolio Auction,,,Rhys Parker,Kieran Bourke,,,1056,,,100%,PROPID_172.69,TH-000000,,
FALSE,Retail,Strip Retail,"2 The Crescent, Kingsgrove NSW 2208",My Space Industrial Agents,Kingsmen Barbershop and Apparel,,29/11/2024,14/01/2025,"$2,350,000",,Private Sale,,,Robert McLaurin,Pedro Tabrizi,,,104,,,100%,https://www.realcommercial.com.au/for-sale/property-2-the-crescent-kingsgrove-nsw-2208-504716272,TH-000001,,
FALSE,Automotive,Car Dealerships,"1 Prestige Place, Narre Warren VIC 3805",Colliers,Subaru Berwick,"$643,077",12/03/2019,5/08/2019,"$9,650,000",6.66%,Private Sale,,,,,,,1365,3950,,100%,Sales Evidence from Jesse (Car Dealerships),TH-000043,,
FALSE,Pubs and Hotels,Pubs,"32 Anzac Avenue, Redcliffe QLD 4020",Savills,QVC,"$1,060,950",10/06/2019,1/12/2021,"$19,290,000",5.50%,EOI,,,Jon Tyson,Peter Tyson,,,,,,100%,,TH-000044,,
FALSE,Automotive,Car Dealerships,"380 Cooper Street, Epping VIC 3076",CBRE,Mercedes-Benz,"$841,500",1/11/2019,17/12/2019,"$12,600,000",6.68%,EOI,,,,,,,3610,12800,,100%,Sales Evidence from Jesse (Car Dealerships),TH-000048,,
FALSE,Automotive,Automotive Retail,"4 Webber Driver, Browns Plains QLD 4118",Cushman & Wakefield,Autobarn,"$218,960",13/02/2020,1/06/2020,"$3,400,000",6.44%,Private Sale,,,,,,,,,,100%,Harvey Norman Sales Evidence,TH-000049,,
FALSE,Childcare and Social Infrastructure,Swim Schools,"4/10 Winki Way, Torquay VIC 3228",Burgess Rawson,Little Starfish Swimmers Torquay,"$130,700",30/10/2024,2/11/2024,"$2,400,000",5.45%,Portfolio Auction,,,,,,,590,590,,100%,PROPID_172.57,TH-000058,,
FALSE,"Medical, Pharmacy and Health",Gyms,"1/485 Ipswich Road, Annerley QLD 4103",Burgess Rawson,Zap Fitness,"$184,560",2/10/2024,1/11/2024,"$2,950,001",6.26%,Offers to Purchase,,,,,,,75,706,,100%,PROPID_172.37,TH-000059,,
FALSE,Childcare and Social Infrastructure,Childcare,"2 Chilvers Street, Baldivis WA 6171",Burgess Rawson,G8 Education,"$362,570",21/08/2024,31/10/2024,"$5,800,000",6.25%,Portfolio Auction,31/10/2024,,,,,,933,2310,119,100%,PROPID_172.42,TH-000060,,
FALSE,Pubs and Hotels,Pubs,"4/109-111 George Street, Rockhampton City QLD 4700",Ray White,TAB,"$133,365",1/07/2020,12/11/2021,"$1,300,000",10.26%,Private Sale,,,Elliott Kidd,Stephen Kidd,,,,,,100%,https://www.realcommercial.com.au/sold/property-4-109-111-george-street-rockhampton-city-qld-4700-503478398,TH-000061,,
